Date,"SPY"
2017-12-01,8
2017-12-02,6
2017-12-03,3
2017-12-04,10
2017-12-05,12
2017-12-06,9
2017-12-07,9
2017-12-08,6
2017-12-09,3
2017-12-10,15
2017-12-11,7
2017-12-12,5
2017-12-13,8
2017-12-14,5
2017-12-15,8
2017-12-16,6
2017-12-17,10
2017-12-18,5
2017-12-19,6
2017-12-20,3
2017-12-21,3
2017-12-22,4
2017-12-23,1
2017-12-24,5
2017-12-25,9
2017-12-26,5
2017-12-27,12
2017-12-28,12
2017-12-29,1
2017-12-30,6
2017-12-31,9
2018-01-01,3
2018-01-02,6
2018-01-03,7
2018-01-04,6
2018-01-05,9
2018-01-06,3
2018-01-07,9
2018-01-08,15
2018-01-09,8
2018-01-10,13
2018-01-11,12
2018-01-12,9
2018-01-13,9
2018-01-14,12
2018-01-15,11
2018-01-16,7
2018-01-17,3
2018-01-18,13
2018-01-19,16
2018-01-20,5
2018-01-21,5
2018-01-22,10
2018-01-23,6
2018-01-24,17
2018-01-25,18
2018-01-26,5
2018-01-27,6
2018-01-28,13
2018-01-29,11
2018-01-30,15
2018-01-31,20
2018-02-01,24
2018-02-02,19
2018-02-03,8
2018-02-04,9
2018-02-05,8
2018-02-06,26
2018-02-07,22
2018-02-08,13
2018-02-09,29
2018-02-10,16
2018-02-11,18
2018-02-12,14
2018-02-13,22
2018-02-14,13
2018-02-15,15
2018-02-16,20
2018-02-17,7
2018-02-18,9
2018-02-19,9
2018-02-20,11
2018-02-21,11
2018-02-22,11
2018-02-23,6
2018-02-24,4
2018-02-25,8
2018-02-26,13
2018-02-27,16
2018-02-28,10
2018-03-01,11
2018-03-02,13
2018-03-03,14
2018-03-04,8
2018-03-05,6
2018-03-06,15
2018-03-07,14
2018-03-08,9
2018-03-09,9
2018-03-10,12
2018-03-11,9
2018-03-12,13
2018-03-13,10
2018-03-14,10
2018-03-15,12
2018-03-16,16
2018-03-17,13
2018-03-18,8
2018-03-19,12
2018-03-20,10
2018-03-21,11
2018-03-22,8
2018-03-23,11
2018-03-24,3
2018-03-25,8
2018-03-26,9
2018-03-27,15
2018-03-28,14
2018-03-29,13
2018-03-30,3
2018-03-31,9
2018-04-01,8
2018-04-02,7
2018-04-03,15
2018-04-04,10
2018-04-05,12
2018-04-06,9
